query,_id,_score,name,symbol,entrezgene,notfound
ENSG00000270915,ENSG00000270915,10.614574,H3 histone pseudogene 8,H3P8,,
ENSG00000236047,100271277,10.614573,ribosomal protein L13a pseudogene 12,RPL13AP12,100271277,
ENSG00000223619,107075222,10.614574,MT-CO1 pseudogene 17,MTCO1P17,107075222,
ENSG00000233888,107075268,10.614574,MT-CO2 pseudogene 17,MTCO2P17,107075268,
ENSG00000235433,107075274,10.614574,MT-ATP6 pseudogene 17,MTATP6P17,107075274,
ENSG00000237542,107075271,10.614574,MT-CO3 pseudogene 17,MTCO3P17,107075271,
ENSG00000233134,107075279,10.614574,MT-ND3 pseudogene 17,MTND3P17,107075279,
ENSG00000241221,107075240,10.614576,MT-ND4L pseudogene 17,MTND4LP17,107075240,
ENSG00000227454,ENSG00000227454,10.614576,MT-ND4 pseudogene 30,MTND4P30,,
ENSG00000233311,107075178,10.614576,MT-CO1 pseudogene 54,MTCO1P54,107075178,
ENSG00000138439,150864,32.905186,family with sequence similarity 117 member B,FAM117B,150864,
ENSG00000163596,130026,32.905186,islet cell autoantigen 1 like,ICA1L,130026,
ENSG00000240761,ENSG00000240761,32.905178,,,,
ENSG00000233579,645834,10.6145735,keratin 8 pseudogene 15,KRT8P15,645834,
ENSG00000281423,,,,,,True
ENSG00000138442,55759,31.898127,WD repeat domain 12,WDR12,55759,
ENSG00000138380,79800,31.898127,calcium responsive transcription factor,CARF,79800,
ENSG00000232479,100887068,10.614576,keratin 8 pseudogene 52,KRT8P52,100887068,
ENSG00000270664,ENSG00000270664,32.905186,,,,
ENSG00000144426,65065,32.905167,neurobeachin like 1,NBEAL1,65065,
ENSG00000232994,ENSG00000232994,10.614571,ribosomal protein L7 pseudogene 14,RPL7P14,,
ENSG00000202059,124900525,32.905167,small nucleolar RNA SNORA1,LOC124900525,124900525,
ENSG00000228513,100419679,10.614576,zinc finger protein 670 pseudogene,LOC100419679,100419679,
ENSG00000225124,100271296,10.614576,ribosomal protein L23a pseudogene 36,RPL23AP36,100271296,
ENSG00000204196,ENSG00000204196,10.614571,ribosomal protein L12 pseudogene 16,RPL12P16,,
ENSG00000119004,57404,31.898127,cytochrome P450 family 20 subfamily A member 1,CYP20A1,57404,
ENSG00000264041,106481105,10.614571,"RNA, 7SL, cytoplasmic 670, pseudogene",RN7SL670P,106481105,
ENSG00000238285,ENSG00000238285,10.614571,mitochondrial ribosomal protein L50 pseudogene 2,MRPL50P2,,
ENSG00000138443,10152,31.898115,abl interactor 2,ABI2,10152,
ENSG00000256458,ENSG00000256458,32.905178,,,,
ENSG00000173166,65059,32.905186,Ras association (RalGDS/AF-6) and pleckstrin homology domains 1,RAPH1,65059,
ENSG00000233459,729532,10.614576,zinc finger protein 207 pseudogene,LOC729532,729532,
ENSG00000233031,100287498,10.614576,cytochrome c oxidase associated subunit FA4 pseudogene,LOC100287498,100287498,
ENSG00000178562,940,32.905186,CD28 molecule,CD28,940,
ENSG00000224791,344462,10.614571,keratin 18 pseudogene 39,KRT18P39,344462,
ENSG00000211573,,,,,,True
ENSG00000213925,ENSG00000213925,10.614571,nucleophosmin 1 pseudogene 33,NPM1P33,,
ENSG00000206970,106481329,10.6145735,"RNA, U6 small nuclear 474, pseudogene",RNU6-474P,106481329,
ENSG00000163599,1493,31.898127,cytotoxic T-lymphocyte associated protein 4,CTLA4,1493,
ENSG00000163600,29851,31.898115,inducible T cell costimulator,ICOS,29851,
ENSG00000235951,100419685,10.614573,zinc finger protein 555 pseudogene,LOC100419685,100419685,
ENSG00000234714,ENSG00000234714,32.905178,,,,
ENSG00000237271,ENSG00000237271,32.905186,,,,
ENSG00000236681,ENSG00000236681,10.614576,DSTN pseudogene 5,DSTNP5,,
ENSG00000225304,100132669,10.614576,carboxymethylenebutenolidase homolog (Pseudomonas) pseudogene,LOC100132669,100132669,
ENSG00000236634,ENSG00000236634,32.905178,,,,
ENSG00000237843,105373845,32.905174,uncharacterized LOC105373845,LOC105373845,105373845,
ENSG00000116117,117583,31.898115,par-3 family cell polarity regulator beta,PARD3B,117583,
ENSG00000223890,ENSG00000223890,32.905186,,,,
ENSG00000118257,8828,31.898127,neuropilin 2,NRP2,8828,
ENSG00000225216,ENSG00000225216,32.905174,NRP2 antisense RNA 1,NRP2-AS1,,
ENSG00000201875,106479175,10.614573,RN7SK pseudogene 178,RN7SKP178,106479175,
ENSG00000213739,111082967,10.614573,peptidylprolyl isomerase A pseudogene 68,PPIAP68,111082967,
ENSG00000225610,ENSG00000225610,32.905174,,,,
ENSG00000114933,54891,31.898115,INO80 complex subunit D,INO80D,54891,
ENSG00000252485,ENSG00000252485,32.905174,Vault RNA,Vault,,
ENSG00000207386,ENSG00000207386,32.905178,Y RNA,Y_RNA,,
ENSG00000237041,729332,10.614574,ribosomal protein L27 pseudogene 8,RPL27P8,729332,
ENSG00000227946,ENSG00000227946,32.905178,INO80D antisense RNA 1,INO80D-AS1,,
ENSG00000023228,4719,31.898115,NADH:ubiquinone oxidoreductase core subunit S1,NDUFS1,4719,
ENSG00000231955,ENSG00000231955,32.905178,,,,
ENSG00000237580,ENSG00000237580,10.614574,GCSH pseudogene 3,GCSHP3,,
ENSG00000114942,1933,31.898125,eukaryotic translation elongation factor 1 beta 2,EEF1B2,1933,
ENSG00000277502,ENSG00000277502,32.905178,,,,
ENSG00000281780,ENSG00000281780,32.905178,Small nucleolar RNA Z196/R39/R59 family,snoZ196,,
ENSG00000207047,26798,31.898115,"small nucleolar RNA, C/D box 51",SNORD51,26798,
ENSG00000207406,619569,31.898115,"small nucleolar RNA, H/ACA box 41",SNORA41,619569,
ENSG00000183671,2825,31.89812,chemerin chemokine-like receptor 2,CMKLR2,2825,
ENSG00000279220,ENSG00000279220,32.905178,CMKLR2 antisense RNA,CMKLR2-AS,,
ENSG00000222496,ENSG00000222496,10.614574,RN7SK pseudogene 200,RN7SKP200,,
ENSG00000159186,100132849,10.614574,ATP5PO pseudogene 1,ATP5POP1,100132849,
ENSG00000224070,100874430,10.614571,high mobility group nucleosome binding domain 1 pseudogene 6,HMGN1P6,100874430,
ENSG00000252716,106479211,10.614574,RN7SK pseudogene 260,RN7SKP260,106479211,
ENSG00000204186,57683,31.898127,zinc finger DBF-type containing 2,ZDBF2,57683,
ENSG00000279921,,,,,,True
ENSG00000180105,ENSG00000180105,10.614574,ACER2 pseudogene 1,ACER2P1,,
ENSG00000234491,ENSG00000234491,10.614576,heterogeneous nuclear ribonucleoprotein A1 pseudogene 51,HNRNPA1P51,,
ENSG00000114948,8745,31.898127,ADAM metallopeptidase domain 23,ADAM23,8745,
ENSG00000228577,ENSG00000228577,32.905186,,,,
ENSG00000231653,ENSG00000231653,32.905186,long intergenic non-protein coding RNA 3097,LINC03097,,
ENSG00000235118,200726,31.898115,family with sequence similarity 237 member A,FAM237A,200726,
ENSG00000232125,391475,31.89811,dystrotelin,DYTN,391475,
ENSG00000213083,100420893,10.6145735,VPS26C pseudogene 1,VPS26CP1,100420893,
ENSG00000207319,ENSG00000207319,32.905167,Y RNA,Y_RNA,,
ENSG00000138400,130752,31.89811,malate dehydrogenase 1B,MDH1B,130752,
ENSG00000118246,22868,31.898127,FAST kinase domains 2,FASTKD2,22868,
ENSG00000263468,100423002,32.905186,microRNA 3130-2,MIR3130-2,100423002,
ENSG00000260171,ENSG00000260171,32.905167,,,,
ENSG00000229321,ENSG00000229321,32.905186,,,,
ENSG00000144410,130749,31.898127,carboxypeptidase O,CPO,130749,
ENSG00000118263,8609,31.898127,KLF transcription factor 7,KLF7,8609,
ENSG00000253008,100423036,32.905178,microRNA 2355,MIR2355,100423036,
ENSG00000237892,ENSG00000237892,32.905178,KLF7 intronic transcript 1,KLF7-IT1,,
ENSG00000277590,102465835,32.905178,microRNA 7845,MIR7845,102465835,
ENSG00000224342,,,,,,True
ENSG00000234902,,,,,,True
ENSG00000225916,,,,,,True
ENSG00000240440,,,,,,True
ENSG00000229647,ENSG00000229647,32.905186,"myocardin-induced smooth muscle lncRNA, inducer of differentiation",MYOSLID,,
ENSG00000223725,ENSG00000223725,32.905167,MYOSLID antisense RNA 1,MYOSLID-AS1,,
ENSG00000225064,105373852,32.905178,long intergenic non-protein coding RNA 1802,LINC01802,105373852,
ENSG00000221628,100302130,32.905178,microRNA 1302-4,MIR1302-4,100302130,
ENSG00000118260,1385,31.89812,cAMP responsive element binding protein 1,CREB1,1385,
ENSG00000144401,151194,31.89811,"methyltransferase 21A, HSPA lysine",METTL21A,151194,
ENSG00000223433,ENSG00000223433,10.614574,ribosomal protein S29 pseudogene 9,RPS29P9,,
ENSG00000224137,102724714,32.905178,long intergenic non-protein coding RNA 1857,LINC01857,102724714,
ENSG00000199251,106479861,10.6145735,"RNA, U6 small nuclear 664, pseudogene",RNU6-664P,106479861,
ENSG00000213082,ENSG00000213082,10.614573,protein phosphatase 1 regulatory inhibitor subunit 14B pseudogene 2,PPP1R14BP2,,
ENSG00000200764,ENSG00000200764,32.905178,Y RNA,Y_RNA,,
ENSG00000163249,151195,31.898115,cyclin Y like 1,CCNYL1,151195,
ENSG00000272851,ENSG00000272851,32.905174,,,,
ENSG00000264900,,,,,,True
